iter	RMSE
0	33.76254657
1	32.13714747
2	30.63206868
3	29.28083826
4	27.9048757
5	26.78933118
6	25.75532291
7	24.86813242
8	24.11799287
9	23.48240509
10	22.86672218
11	22.32069173
12	21.7276046
13	21.21188221
14	20.8385843
15	20.4314823
16	20.09852967
17	19.8192048
18	19.57502001
19	19.32002697
20	19.13114191
21	18.97970082
22	18.77473429
23	18.57871943
24	18.42106911
25	18.33145551
26	18.17406745
27	18.04984636
28	17.93492077
29	17.88286254
30	17.64807553
31	17.4527314
32	17.35503604
33	17.20362309
34	17.09536228
35	17.01433339
36	16.93132592
37	16.89439821
38	16.77267788
39	16.6462526
40	16.57007824
41	16.4623931
42	16.42591072
43	16.28830615
44	16.24120572
45	16.1578674
46	16.09254885
47	15.96607314
48	15.90093493
49	15.86835313
50	15.80450976
51	15.70231211
52	15.6515544
53	15.59193576
54	15.52457067
55	15.49446975
56	15.440532
57	15.33183119
58	15.30357831
59	15.22312277
60	15.15290724
61	15.10886196
62	15.06372877
63	15.03611142
64	14.99858724
65	14.90298673
66	14.85648983
67	14.82611175
68	14.78712086
69	14.75264998
70	14.71795947
71	14.687525
72	14.65894525
73	14.63280215
74	14.56364741
75	14.521368
76	14.45274556
77	14.38458178
78	14.35645683
79	14.30620733
80	14.25052242
81	14.1928902
82	14.16081087
83	14.13215958
84	14.08825173
85	14.0430561
86	14.01072253
87	13.97513425
88	13.9295865
89	13.90050409
90	13.8415349
91	13.80328257
92	13.78532193
93	13.74271411
94	13.72713449
95	13.69752839
96	13.68117009
97	13.64716853
98	13.59648219
99	13.53578907
100	13.5141939
101	13.5099887
102	13.4517564
103	13.4462272
104	13.40012737
105	13.36415617
106	13.30076261
107	13.29105327
108	13.22990474
109	13.20138592
110	13.13011563
111	13.1032376
112	13.07421399
113	13.07018718
114	13.01732752
115	13.01316251
116	12.98371534
117	12.94205143
118	12.89416484
119	12.83075535
120	12.79139024
121	12.72014569
122	12.71667852
123	12.68054786
124	12.66424144
125	12.66103253
126	12.64350019
127	12.62259737
128	12.58184391
129	12.55806679
130	12.52594276
131	12.50752741
132	12.49701543
133	12.46640969
134	12.43725463
135	12.43483069
136	12.40708874
137	12.40315813
138	12.37451128
139	12.30497311
140	12.23977368
141	12.18246952
142	12.16211929
143	12.12082638
144	12.11902758
145	12.10245264
146	12.0644863
147	12.03131845
148	12.00229359
149	11.94842185
150	11.89988017
151	11.85510301
152	11.82462316
153	11.78738628
154	11.75203464
155	11.71470536
156	11.7128351
157	11.69542185
158	11.68921035
159	11.64029432
160	11.60259738
161	11.56980612
162	11.53983536
163	11.53816985
164	11.52777648
165	11.52542064
166	11.48434899
167	11.46711611
168	11.44891777
169	11.43133022
170	11.3879851
171	11.3815352
172	11.36146839
173	11.35938928
174	11.31623253
175	11.29776576
176	11.26815166
177	11.26688257
178	11.24644144
179	11.2287295
180	11.20660139
181	11.18171539
182	11.16759893
183	11.16508617
184	11.14695758
185	11.10965463
186	11.08806619
187	11.05223665
188	11.03484164
189	11.00997271
190	10.98942538
191	10.94849636
192	10.89653494
193	10.89536397
194	10.88003698
195	10.86057274
196	10.85957938
197	10.82407973
198	10.7728861
199	10.75886704
