iter	Passed	Remaining
0	8	2542
1	9	1457
2	11	1090
3	12	907
4	13	797
5	14	724
6	16	671
7	17	630
8	18	597
9	19	572
10	21	552
11	22	533
12	23	518
13	24	504
14	25	493
15	27	483
16	28	474
17	29	466
18	31	458
19	32	451
20	33	445
21	34	438
22	35	433
23	37	427
24	38	422
25	39	417
26	40	413
27	42	408
28	43	404
29	44	400
30	45	397
31	46	393
32	48	390
33	49	386
34	50	383
35	51	379
36	53	377
37	54	374
38	55	371
39	56	368
40	57	365
41	59	363
42	60	360
43	61	358
44	62	355
45	64	353
46	65	351
47	66	349
48	67	347
49	69	345
50	70	342
51	71	340
52	72	338
53	73	336
54	75	334
55	76	333
56	77	331
57	78	329
58	80	327
59	81	325
60	82	323
61	83	321
62	85	319
63	86	318
64	87	316
65	88	314
66	89	312
67	91	311
68	92	309
69	93	307
70	94	306
71	96	304
72	97	302
73	98	301
74	99	299
75	101	297
76	102	296
77	103	294
78	104	293
79	105	291
80	107	289
81	108	288
82	109	286
83	110	285
84	112	283
85	113	282
86	114	280
87	115	279
88	117	277
89	118	275
90	119	274
91	120	272
92	121	270
93	122	269
94	124	267
95	125	266
96	126	264
97	127	263
98	128	261
99	130	260
100	131	258
101	132	257
102	133	256
103	135	254
104	136	253
105	137	251
106	138	250
107	140	248
108	141	247
109	142	246
110	143	244
111	144	243
112	146	241
113	147	240
114	148	239
115	149	237
116	151	236
117	152	234
118	153	233
119	154	232
120	156	230
121	157	229
122	158	228
123	159	226
124	161	225
125	162	224
126	163	222
127	164	221
128	166	220
129	167	218
130	168	217
131	169	216
132	170	214
133	172	213
134	173	211
135	174	210
136	175	209
137	177	207
138	178	206
139	179	205
140	180	203
141	182	202
142	183	201
143	184	199
144	185	198
145	187	197
146	188	195
147	189	194
148	190	193
149	192	192
150	193	190
151	194	189
152	196	188
153	197	187
154	198	186
155	200	184
156	201	183
157	202	182
158	204	180
159	205	179
160	206	178
161	207	177
162	209	175
163	210	174
164	211	173
165	212	171
166	214	170
167	215	169
168	216	167
169	217	166
170	219	165
171	220	164
172	221	162
173	222	161
174	224	160
175	225	158
176	226	157
177	228	156
178	229	155
179	230	153
180	231	152
181	232	151
182	234	149
183	235	148
184	236	147
185	237	145
186	239	144
187	240	143
188	241	141
189	242	140
190	244	139
191	245	138
192	246	136
193	247	135
194	249	134
195	250	132
196	251	131
197	252	130
198	254	129
199	255	127
200	256	126
201	257	125
202	259	123
203	260	122
204	261	121
205	262	119
206	264	118
207	265	117
208	266	116
209	267	114
210	269	113
211	270	112
212	271	110
213	272	109
214	274	108
215	275	107
216	276	105
217	277	104
218	279	103
219	280	101
220	281	100
221	282	99
222	284	98
223	285	96
224	286	95
225	287	94
226	289	92
227	290	91
228	291	90
229	292	89
230	294	87
231	295	86
232	296	85
233	297	84
234	299	82
235	300	81
236	301	80
237	302	78
238	304	77
239	305	76
240	306	75
241	308	73
242	309	72
243	310	71
244	311	69
245	313	68
246	314	67
247	315	66
248	316	64
249	318	63
250	319	62
251	320	61
252	321	59
253	323	58
254	324	57
255	325	55
256	327	54
257	328	53
258	329	52
259	330	50
260	332	49
261	333	48
262	334	47
263	335	45
264	337	44
265	338	43
266	339	41
267	340	40
268	342	39
269	343	38
270	344	36
271	346	35
272	347	34
273	348	33
274	349	31
275	351	30
276	352	29
277	353	27
278	354	26
279	356	25
280	357	24
281	358	22
282	360	21
283	361	20
284	362	19
285	363	17
286	365	16
287	366	15
288	367	13
289	368	12
290	370	11
291	371	10
292	372	8
293	373	7
294	375	6
295	376	5
296	377	3
297	378	2
298	380	1
299	381	0
