iter	Passed	Remaining
0	3	1949
1	7	1884
2	11	1953
3	15	1909
4	18	1850
5	22	1837
6	26	1836
7	30	1857
8	33	1853
9	37	1831
10	40	1820
11	44	1814
12	49	1861
13	53	1866
14	57	1863
15	61	1852
16	65	1849
17	68	1836
18	72	1833
19	76	1825
20	79	1818
21	82	1800
22	86	1801
23	90	1796
24	94	1790
25	97	1784
26	101	1778
27	104	1760
28	108	1757
29	111	1752
30	115	1747
31	119	1743
32	122	1738
33	126	1733
34	129	1722
35	133	1717
36	137	1714
37	140	1710
38	144	1705
39	147	1695
40	150	1687
41	154	1683
42	157	1678
43	161	1674
44	164	1667
45	168	1663
46	172	1658
47	175	1654
48	179	1650
49	182	1646
50	186	1644
51	190	1640
52	194	1636
53	197	1632
54	201	1629
55	205	1625
56	208	1621
57	212	1617
58	215	1613
59	219	1610
60	223	1606
61	226	1602
62	230	1599
63	234	1594
64	237	1591
65	241	1587
66	244	1582
67	248	1579
68	252	1576
69	255	1572
70	259	1568
71	263	1564
72	266	1561
73	270	1557
74	274	1553
75	277	1550
76	281	1546
77	285	1543
78	288	1539
79	292	1535
80	296	1531
81	299	1528
82	303	1524
83	307	1520
84	310	1516
85	314	1512
86	317	1508
87	321	1504
88	325	1501
89	328	1497
90	332	1493
91	335	1489
92	339	1485
93	343	1481
94	346	1477
95	350	1473
96	353	1470
97	357	1466
98	361	1462
99	364	1458
100	368	1454
101	371	1450
102	375	1447
103	379	1443
104	382	1439
105	386	1436
106	390	1432
107	393	1429
108	397	1426
109	401	1422
110	404	1418
111	408	1415
112	412	1411
113	416	1408
114	419	1405
115	423	1401
116	427	1398
117	430	1394
118	434	1390
119	437	1386
120	441	1383
121	445	1379
122	448	1375
123	452	1372
124	456	1368
125	459	1364
126	463	1360
127	467	1357
128	470	1353
129	474	1349
130	477	1345
131	481	1342
132	485	1339
133	489	1336
134	493	1333
135	496	1330
136	500	1326
137	504	1322
138	508	1319
139	511	1315
140	515	1312
141	519	1309
142	523	1305
143	526	1302
144	530	1298
145	534	1295
146	537	1291
147	541	1287
148	545	1284
149	548	1280
150	552	1277
151	556	1274
152	560	1270
153	563	1266
154	567	1264
155	571	1260
156	575	1256
157	578	1252
158	582	1249
159	586	1245
160	590	1242
161	594	1239
162	597	1235
163	601	1231
164	604	1228
165	608	1225
166	612	1221
167	616	1218
168	620	1214
169	624	1211
170	627	1207
171	631	1204
172	634	1200
173	638	1196
174	642	1193
175	646	1190
176	650	1186
177	653	1182
178	657	1178
179	661	1175
180	665	1172
181	668	1168
182	672	1164
183	676	1161
184	680	1158
185	684	1155
186	687	1151
187	691	1147
188	695	1144
189	699	1141
190	703	1137
191	706	1133
192	710	1130
193	714	1127
194	720	1126
195	724	1123
196	727	1119
197	731	1115
198	735	1112
199	739	1108
200	742	1105
201	746	1101
202	750	1097
203	754	1094
204	757	1090
205	761	1086
206	765	1083
207	769	1079
208	773	1076
209	776	1072
210	780	1069
211	784	1066
212	788	1062
213	792	1059
214	796	1055
215	800	1052
216	804	1049
217	808	1045
218	812	1041
219	816	1038
220	820	1035
221	823	1031
222	827	1028
223	831	1024
224	835	1021
225	839	1017
226	843	1014
227	846	1010
228	851	1007
229	855	1003
230	858	1000
231	862	996
232	866	992
233	870	989
234	873	985
235	877	981
236	881	977
237	884	974
238	889	970
239	892	967
240	896	963
241	899	959
242	903	955
243	907	952
244	911	948
245	914	944
246	918	940
247	922	937
248	925	933
249	929	929
250	932	925
251	936	921
252	940	917
253	943	914
254	947	910
255	951	906
256	954	902
257	958	898
258	962	895
259	965	891
260	969	887
261	973	883
262	976	880
263	980	876
264	983	872
265	987	868
266	991	864
267	994	861
268	998	857
269	1001	853
270	1005	849
271	1009	845
272	1012	842
273	1016	838
274	1020	834
275	1023	830
276	1027	827
277	1031	823
278	1034	819
279	1038	815
280	1041	811
281	1045	808
282	1049	804
283	1053	800
284	1056	797
285	1060	793
286	1064	789
287	1068	786
288	1072	782
289	1075	779
290	1079	775
291	1083	771
292	1086	767
293	1090	764
294	1094	760
295	1097	756
296	1101	752
297	1105	749
298	1108	745
299	1112	741
300	1116	737
301	1119	734
302	1123	730
303	1127	726
304	1130	722
305	1134	719
306	1138	715
307	1141	711
308	1145	707
309	1148	704
310	1152	700
311	1156	696
312	1159	692
313	1163	689
314	1167	685
315	1170	681
316	1174	677
317	1178	674
318	1181	670
319	1185	666
320	1189	663
321	1193	659
322	1196	655
323	1200	652
324	1204	648
325	1207	644
326	1211	640
327	1215	637
328	1218	633
329	1222	629
330	1225	625
331	1229	622
332	1233	618
333	1236	614
334	1240	610
335	1244	607
336	1247	603
337	1251	599
338	1254	595
339	1258	592
340	1262	588
341	1266	584
342	1269	581
343	1273	577
344	1277	573
345	1280	570
346	1284	566
347	1288	562
348	1292	559
349	1296	555
350	1299	551
351	1303	548
352	1307	544
353	1311	541
354	1315	537
355	1319	533
356	1323	529
357	1326	526
358	1330	522
359	1333	518
360	1337	515
361	1341	511
362	1344	507
363	1348	503
364	1352	500
365	1355	496
366	1359	492
367	1363	488
368	1366	485
369	1370	481
370	1374	477
371	1377	474
372	1381	470
373	1385	466
374	1388	462
375	1392	459
376	1396	455
377	1399	451
378	1403	448
379	1407	444
380	1411	440
381	1414	437
382	1418	433
383	1422	429
384	1425	425
385	1429	422
386	1432	418
387	1436	414
388	1440	411
389	1444	407
390	1447	403
391	1451	399
392	1455	396
393	1459	392
394	1463	389
395	1467	385
396	1471	381
397	1475	378
398	1479	374
399	1482	370
400	1486	366
401	1490	363
402	1494	359
403	1498	356
404	1502	352
405	1505	348
406	1509	344
407	1513	341
408	1516	337
409	1520	333
410	1524	330
411	1528	326
412	1532	322
413	1535	319
414	1539	315
415	1543	311
416	1547	308
417	1551	304
418	1555	300
419	1559	296
420	1562	293
421	1566	289
422	1570	285
423	1574	282
424	1578	278
425	1581	274
426	1585	271
427	1589	267
428	1593	263
429	1596	259
430	1600	256
431	1604	252
432	1607	248
433	1611	245
434	1615	241
435	1619	237
436	1622	233
437	1626	230
438	1630	226
439	1634	222
440	1638	219
