,amo_id,этап_сделки,бюджет,дата_создания_сделки,sale_date,delivery_price,стоимость_доставки,products,price,subtotal,выручка_от_клиента,направление_(вид_сертификата),code,корневая_сделка,номер_2-го_сертификата,сертификат_на_фотографа,сертификат_на_тренера,статус_погашения,card_used_date,id,prefix,number,prefix_V,card_type,design_type,status,sale_price,expiry_date,created_at,updated_at,deleted_at,supplier_payment_date
81,23500055,Успешно_реализовано,21800.0,2023-01-18 16:44:39,2023-01-18 18:43:00,,,"Прыжок_с_парашютом_(Варианты:_Прыжок_с_инструктором_и_видеосъемка,_Бумажный_или_электронный:_Бумажный)_-_1x21800_=_21800",21800.0,21800.0,21800,Парашюты,SP267323,,,,,Погашен,2023-01-25,,,,,,,,,,,,,
85,23503361,Успешно_реализовано,12795.0,2023-01-19 10:45:43,2023-01-19 10:59:00,450.0,,Универсальный_12345_(Бумажный_или_электронный:_Бумажный)_-_1x12345_=_12345,12795.0,12345.0,12795,Универсальный_Мосвейк_12345,W&F284959,,,,,,,,,,,,,,,,,,,
105,23547341,Успешно_реализовано,22250.0,2023-01-25 00:23:05,2023-01-25 17:57:00,450.0,,"Прыжок_с_парашютом_(Варианты:_Прыжок_с_инструктором_и_видеосъемка,_Бумажный_или_электронный:_Электронный_(высылаем_в_течение_часа))_-_1x21800_=_21800",22250.0,21800.0,22500,Парашюты,SP291000,,,,,,,,,,,,,,,,,,,
223,23672219,Успешно_реализовано,4500.0,2023-02-13 18:39:27,2023-02-14 09:45:00,,,"Полет_на_параплане_(Варианты:_1_полет_с_инструктором_с_воздушным_пилотажем,_Бумажный_или_электронный:_Бумажный)_-_1x4500_=_4500",4500.0,4500.0,4500,Параплан,P1G238229,,,,,,,,,,,,,,,,,,,
239,23691835,Успешно_реализовано,5000.0,2023-02-16 20:33:34,2023-02-17 23:16:00,350.0,,"Полет_на_параплане_(Варианты:_1_полет_с_инструктором_с_воздушным_пилотажем,_Бумажный_или_электронный:_Бумажный)_-_1x4500_=_4500",4850.0,4500.0,5000,Параплан,80688,,,,,,,,,,,,,,,,,,,
495,23871179,Успешно_реализовано,18000.0,2023-03-15 19:21:50,2023-03-15 19:56:00,,,"Прыжок_с_парашютом_(Варианты:_Прыжок_с_инструктором,_Бумажный_или_электронный:_Бумажный)_-_1x18000_=_18000",18000.0,18000.0,18000,Парашюты,S223242,,,,,,,,,,,,,,,,,,,
532,23925027,Успешно_реализовано,12345.0,2023-03-23 13:03:59,2023-03-25 18:52:00,,,Подарочный_сертификат_на_12_345_рублей_-_1x12345_=_12345,12345.0,12345.0,12345,Универсальный_Мосвейк_12345,W&F258319,,,,,Погашен,2023-08-15,,,,,,,,,,,,,
554,23959571,Успешно_реализовано,5600.0,2023-03-28 19:29:43,2023-03-28 22:01:00,,,"Аэротруба_(Варианты:_6_минут_полёта_(для_1-2_человек),_Бумажный_или_электронный:_Электронный_(высылаем_в_течение_часа))_-_1x5600_=_5600",5600.0,5600.0,5600,Аэротруба,VAT37112,,,,,,,,,,,,,,,,,,,
555,23962927,Успешно_реализовано,6000.0,2023-03-29 11:58:03,2023-03-29 12:03:00,,,Подарочный_сертификатна_сап-сёрфинг_(Выберите_тип:_Целый_день_на_двоих_-_6000_руб._)_-_2x6000_=_12000,6000.0,6000.0,6000,САП-сёрф,VSU215131,,,,,Погашен,2023-05-08,,,,,,,,,,,,,
556,23963847,Успешно_реализовано,6000.0,2023-03-29 12:47:10,2023-03-29 13:05:00,0.0,,Подарочный_сертификатв_вейк-парк_(Выберите_тип:_Пакет_старт_на_одного_-_2_000_руб._)_-_3x2000_=_6000,6000.0,6000.0,6000,Вейк-парк,VWP138740,,,,,Погашен,2023-08-18,,,,,,,,,,,,,
