,id,amo_id,amo_lead_id,prefix,code,card_type,design_type,status,supplier_payment_date,sale_price,sale_date,expiry_date,card_used_date,created_at,updated_at,deleted_at,number
42,,,24693703,VWS20,VWS20_3415971,electronic,design1,sold_used,2023-10-09,3600.0,2023-01-07 23:00:00,,2023-10-09,,,,3415971
44,,,24962283,EF30,EF30_173522,paper,design1,,,6200.0,2023-01-08 12:01:00,,,,,,173522
55,,,25212865,VWS20,VWS20_4035259,electronic,design1,,,3600.0,2023-01-09 11:29:00,,,,,,4035259
94,,,23521391,VWS20,VWS20_2431777,electronic,design1,sold_used,2023-07-20,3000.0,2023-01-21 20:26:00,,2023-07-20,,,,2431777
139,,,23601589,WS60,WS60_267335,paper,design1,,,,2023-04-02 15:04:00,,,,,,267335
157,,,24203595,VWSN60,VWSN60_2931338,electronic,design1,sold_used,2023-03-09,10000.0,2023-03-05 08:13:00,,2023-03-09,,,,2931338
179,,,24708927,WS20,WS20_116557,paper,design1,sold_used,2023-11-07,3300.0,2023-03-07 18:52:00,,2023-11-07,,,,116557
182,,,24970021,VWS60,VWS60_3737994,electronic,design1,,,10200.0,2023-02-08 10:35:00,,,,,,3737994
194,,,24975785,WS60,WS60_283297,paper,design1,,,,2023-06-08 09:53:00,,,,,,283297
222,,,23670527,VWS60,VWS60_2526079,electronic,design1,sold_used,2023-07-22,8500.0,2023-02-13 14:46:00,,2023-07-22,,,,2526079
249,,,23703937,SN1X1,SN1X1_116859,paper,design1,sold_used,2023-03-03,0.0,2023-02-20 09:58:00,,2023-03-03,,,,116859
254,,,23706073,SN1X1,SN1X1_193747,paper,design1,sold_used,2023-03-03,0.0,2023-02-20 09:58:00,,2023-03-03,,,,193747
264,,,23710655,VEF30,VEF30_2511121,electronic,design1,sold_used,2023-03-09,6200.0,2023-02-20 12:13:00,,2023-03-09,,,,2511121
277,,,23714931,SN2X1,SN2X1_122985,paper,design1,sold_used,2023-10-03,9000.0,2023-02-22 12:04:00,,2023-10-03,,,,122985
383,,,23749387,SN2X1,SN2X1_146289,paper,design1,,,9000.0,2023-02-28 10:08:00,,,,,,146289
399,,,23612531,VWS60,VWS60_2523747,electronic,design1,,,8500.0,2023-03-02 19:37:00,,,,,,2523747
404,,,23788151,VWS20,VWS20_2660744,electronic,design1,sold_used,2023-08-15,3300.0,2023-03-03 15:18:00,,2023-08-15,,,,2660744
429,,,24210987,VWS60,VWS60_2978507,electronic,design1,sold_used,2023-08-19,8500.0,2023-04-05 11:39:00,,2023-08-19,,,,2978507
444,,,24713085,VEF30,VEF30_3489794,electronic,design1,sold_used,2023-06-07,6200.0,2023-03-07 12:22:00,,2023-06-07,,,,3489794
472,,,25495625,VSG7,VSG7_4172411,electronic,design1,,,7000.0,2023-03-10 10:32:00,,,,,,4172411
487,,,23852821,WS60,WS60_234563,paper,design1,sold_used,2023-09-07,,2023-03-15 07:39:00,,2023-09-07,,,,234563
492,,,23869621,WSN60,WSN60_270145,paper,design1,sold_used,2023-05-08,10000.0,2023-03-17 16:11:00,,2023-05-08,,,,270145
503,,,23885027,WS60,WS60_273808,paper,design1,,,,2023-03-20 21:18:00,,,,,,273808
518,,,23908435,WS20,WS20_188511,paper,design1,sold_used,2023-12-08,3300.0,2023-03-22 14:57:00,,2023-12-08,,,,188511
522,,,23918309,VWS20,VWS20_2756849,electronic,design1,sold_used,2023-08-17,3600.0,2023-03-25 10:04:00,,2023-08-17,,,,2756849
523,,,23918655,VWS20,VWS20_2763889,electronic,design1,sold_used,2023-08-17,3600.0,2023-03-22 14:29:00,,2023-08-17,,,,2763889
524,,,23918783,VWS20,VWS20_2752147,electronic,design1,sold_used,2023-08-17,3600.0,2023-03-22 14:38:00,,2023-08-17,,,,2752147
526,,,23919421,WS20,WS20_188196,paper,design1,,,3300.0,2023-03-22 16:08:00,,,,,,188196
537,,,23931737,EF30,EF30_259055,paper,design1,,,6200.0,2023-03-27 16:00:00,,,,,,259055
538,,,23931953,EF30,EF30_190931,paper,design1,sold_used,2023-02-07,6200.0,2023-03-27 16:00:00,,2023-02-07,,,,190931
551,,,23942865,VWS60,VWS60_2873370,electronic,design1,sold_used,2023-08-18,8500.0,2023-03-26 18:16:00,,2023-08-18,,,,2873370
553,,,23959347,VWS60,VWS60_2870241,electronic,design1,sold_used,2023-04-08,10200.0,2023-03-28 18:57:00,,2023-04-08,,,,2870241
560,,,23965909,VHB20,VHB20_2816516,electronic,design1,,,3700.0,2023-03-29 16:38:00,,,,,,2816516
562,,,23967057,WS20,WS20_164862,paper,design1,sold_used,2023-10-09,3300.0,2023-03-30 13:39:00,,2023-10-09,,,,164862
605,,,24463739,WS60,WS60_287654,paper,design1,sold_used,2023-10-08,,2023-05-06 18:51:00,,2023-10-08,,,,287654
614,,,24721963,WS60,WS60_216485,paper,design1,sold_used,2023-10-08,,2023-05-07 22:04:00,,2023-10-08,,,,216485
624,,,24989577,WS20,WS20_171166,paper,design1,,,3300.0,2023-09-08 10:29:00,,,,,,171166
644,,,25233951,VWS20,VWS20_4019308,electronic,design1,,,3800.0,2023-04-09 18:50:00,,,,,,4019308
