Id,Activity Name,Value,Status,Prefix,Purchase Price,Sale Price
1,Вейксёрф и вейкборд,"2 часа вейксерфинга или вейкбординга
на волне Tige или Mastercraft X1",on_air,WS2,,22500.0
2,Вейксёрф и вейкборд,"1 час вейксерфинга или вейкбординга
на волне Tige или Mastercraft X1",on_air,WS1,,11000.0
3,Вейксёрф и вейкборд,"40 минут вейксерфинга или вейкбординга
на волне Tige или Mastercraft X1",on_air,WS40,,7500.0
4,Вейксёрф и вейкборд,"30 минут вейксерфинга или вейкбординга
на волне Tige или Mastercraft X1",on_air,WS30,,5500.0
5,Вейксёрф и вейкборд,"25 минут вейксерфинга или вейкбординга
на волне Tige или Mastercraft X1",on_air,WS25,,5000.0
6,Вейксёрф и вейкборд,"2 часа вейксерфинга или вейкбординга
на любой волне на выбор",on_air,WSN2,,26500.0
7,Вейксёрф и вейкборд,1 час вейксерфинга или вейкбординга на любой волне на выбор,on_air,WSN1,,13500.0
8,Вейксёрф и вейкборд,40 минут вейксерфинга или вейкбординга на любой волне на выбор,on_air,WSN40,,8500.0
9,Вейксёрф и вейкборд,25 минут вейксерфинга или вейкбординга на любой волне на выбор,on_air,WSN25,,6000.0
10,Флайборд ,1 час полёта на флайборде ,on_air,MF60,,12500.0
11,Флайборд ,30 минут полёта на флайборде ,on_air,MF30,,7600.0
12,Флайборд ,20 минут полёта на флайборде ,on_air,MF20,,4500.0
13,Ховерборд,1 час полёта на ховерборде,on_air,HB60,,14500.0
14,Ховерборд,30 минут полёта на ховерборде,on_air,HB30,,8500.0
15,Вейксёрф Гидрофойл,Часовой курс по катанию на гидрофойле,on_air,HY60,,5500.0
16,Вейксёрф Гидрофойл,30 минутный курс по катанию на гидрофойле,on_air,HY30,,11000.0
17,Вейк-парк,Вейк-парк на весь день для двоих,on_air,2WP24,,11200.0
18,Вейк-парк,Вейк-парк на 2 часа,on_air,WP2H,,11000.0
19,Вейк-парк,Вейк-парк на 60 минут,on_air,WP60,,6300.0
20,Вейк-парк,Вейк-парк: тариф «Старт» для новичков,on_air,WP15,,2200.0
21,САП-сёрф,Сап-сёрф для двоих на весь день ,on_air,SU24,,10000.0
22,САП-сёрф,Сап-сёрф для двоих на 1 час,on_air,SU60,,2500.0
23,САП-сёрф,Сап-тур для двоих,on_air,SUT,,5500.0
24,Электрофойл,1 час катания на электрофойле,on_air,EFL30,,6200.0
25,Электрофойл,30 минут катания на электрофойле,on_air,EFL60,,11000.0
26,Водные лыжи,1 час катания на водных лыжах,on_air,SKI60,,11000.0
27,Водные лыжи,40 минут катания на водных лыжах,on_air,SKI40,,7500.0
28,Универсальный Мосвейк,Сертификат 12345 руб. на направления Мосвейк,on_air,W&F,,12345.0
29,Вейксёрф и вейкборд,2 часа вейксерфинга или вейкбордингана волне Tige или Mastercraft X1 (MF),on_air,MWS2,23800.0,28000.0
30,Вейксёрф и вейкборд,1 час вейксерфинга или вейкбордингана волне Tige или Mastercraft X1(MF),on_air,MWS1,10000.0,11700.0
31,Вейксёрф и вейкборд,40 минут вейксерфинга или вейкбордингана волне Tige или Mastercraft X1 (MF),on_air,MWS40,6800.0,8000.0
32,Вейксёрф и вейкборд,"30 минут вейксерфинга или вейкбординга
на волне Tige или Mastercraft X1",on_air,MWS30,5000.0,5900.0
33,Вейксёрф и вейкборд,25 минут вейксерфинга или вейкбордингана волне Tige или Mastercraft X1 (MF),on_air,MWS25,4700.0,5500.0
34,Вейксёрф и вейкборд,2 часа вейксерфинга или вейкбордингана любой волне на выбор (MF),on_air,MWSN2,19975.0,23500.0
35,Вейксёрф и вейкборд,Час вейксерфинга или вейкбординга на любой волне на выбор (MF),on_air,MWSN1,12000.0,14200.0
36,Вейксёрф и вейкборд,40 минут вейксерфинга или вейкбординга на любой волне на выбор (MF),on_air,MWSN40,7650.0,9000.0
37,Вейксёрф и вейкборд,25 минут вейксерфинга или вейкбординга на любой волне на выбор (MF),on_air,MWSN25,5500.0,6500.0
38,Флайборд ,1 час полёта на флайборде,on_air,MMF60,11000.0,13000.0
39,Флайборд ,30 минут полёта на флайборде,on_air,MMF30,6100.0,7200.0
40,Флайборд ,20 минут полёта на флайборде ,on_air,MMF20,4000.0,4800.0
41,Ховерборд,1 час полёта на ховерборде (MF),on_air,MHB60,13000.0,15300.0
42,Ховерборд,30 минут полёта на ховерборде (MF),on_air,MHB60,7650.0,9000.0
43,Вейксёрф Гидрофойл,Часовой курс по катанию на гидрофойле,on_air,MHY60,10200.0,12000.0
44,Вейксёрф Гидрофойл,30 минутный курс по катанию на гидрофойле,on_air,MHY30,5500.0,6500.0
45,Вейк-парк,Вейк-парк на весь день для двоих,on_air,2MWP24,10000.0,11800.0
46,Вейк-парк,Вейк-парк на 2 часа,on_air,MWP2H,9950.0,11700.0
47,Вейк-парк,Вейк-парк на 60 минут,on_air,MWP60,5700.0,6700.0
48,Вейк-парк,Вейк-парк: тариф «Старт» для новичков MF,on_air,MWP15,2000.0,2400.0
49,САП-сёрф,Сап-сёрф для двоих на весь день (MF),on_air,MSU24,8900.0,10500.0
50,САП-сёрф,Сап-сёрф для двоих на 1 час (MF),on_air,MSU60,2300.0,2700.0
51,Электрофойл,1 час катания на электрофойле (MF),on_air,MEFL30,5500.0,6500.0
52,Электрофойл,30 минут катания на электрофойле (MF),on_air,MEFL60,9800.0,11500.0
53,Водные лыжи,1 час катания на водных лыжах,on_air,MSKI60,9900.0,11700.0
54,Водные лыжи,40 минут катания на водных лыжах,on_air,MSKI40,6800.0,8000.0
55,Авиа Авиатренажёр,120 минут полёта,on_air,AC2,7200.0,9000.0
56,Авиа Авиатренажёр,60 минут полёта,on_air,AC60,4000.0,5000.0
57,Авиа Авиатренажёр,30 минут полёта,on_air,AC30,2800.0,3500.0
58,Авиа Вертолёт,60 минут полёта на вертолёте,on_air,RB60,40000.0,50000.0
59,Авиа Вертолёт,40 минут полёта на вертолёте,on_air,RB40,29600.0,37000.0
60,Авиа Вертолёт,30 минут полёта на вертолёте,on_air,RB30,23200.0,29000.0
61,Авиа Вертолёт,20 минут полёта на вертолёте,on_air,RB20,16000.0,20000.0
62,Авиа Вертолёт,15 минут полёта на вертолёте,on_air,RB15,12400.0,15500.0
63,Авиа Самолёты,Romantic edition60 минутный полёт на самолете,on_air,CSR60,20000.0,22000.0
64,Авиа Самолёты,60 минутный полёт на самолете,on_air,CS60,20000.0,22000.0
65,Авиа Самолёты,40 минутный полёт на самолете,on_air,CS40,14000.0,15000.0
66,Авиа Самолёты,30 минутный полёт на самолете,on_air,CS30,11000.0,11500.0
67,Авиа Самолёты,20 минутный полёт на самолете,on_air,CS20,7500.0,8000.0
68,Авиа Самолёты,60 минутный полёт на самолете,on_air,PR60,17000.0,17500.0
69,Авиа Самолёты,40 минутный полёт на самолете,on_air,PR40,12000.0,13000.0
70,Авиа Самолёты,30 минутный полёт на самолете,on_air,PR30,9500.0,10000.0
71,Авиа Самолёты,20 минутный полёт на самолете,on_air,PR20,6500.0,7000.0
72,Авто Гоночное такси,Поездка на гоночном такси ,on_air,RT,17000.0,20000.0
73,Авто Гоночное такси,Поездка на гоночном такси VIP,on_air,RTV,23000.0,25000.0
74,Авто Заезд на спорткаре,Заезд на спорткаре по гоночной трассе,on_air,RC,17000.0,24000.0
75,Авто Заезд на спорткаре,Заезд на спорткаре по гоночной трассе,on_air,RCV,,
76,Авто Заезд на спорткаре+такси,Заезд на спорткаре + гоночное такси,on_air,RX,35000.0,37000.0
77,Авто Заезд на спорткаре+такси,Заезд на спорткаре + гоночное такси,on_air,RXV,45000.0,53000.0
78,Авто Дрифт,Индивидуальное занятие на авто клуба 1 час,on_air,DRCH,16000.0,19900.0
79,Авто Дрифт,Индивидуальное занятие на авто клуба 2 часа,on_air,DRC2H,27900.0,34900.0
80,Авто Экстр. вождение,Экстремальное вождение - индивидуальная подготовка на своём авто 3 часа,on_air,ED3H,14500.0,17000.0
81,Авто Экстр. вождение,Экстремальное вождение - индивидуальная тренировка на авто клуба 3 часа,on_air,EDС,24500.0,39900.0
82,Аэротруба,4 минуты полёта в аэротрубе,on_air,AT4,3120.0,3900.0
83,Аэротруба,6 минут полёта в аэротрубе,on_air,AT6,4480.0,5600.0
84,Аэротруба,10 минут полёта в аэротрубе,on_air,AT10,7200.0,9000.0
85,Аэротруба,15 минут полёта в аэротрубе,on_air,AT15,10240.0,12800.0
86,Аэротруба,30 минут полёта в аэротрубе,on_air,AT30,20480.0,25600.0
87,Аэротруба,4 минуты полёта для ребёнка в аэротрубе,on_air,AT4K,3120.0,3900.0
88,Аэротруба,6 минут полёта для ребёнка в аэротрубе,on_air,AT6K,4480.0,5600.0
89,Аэротруба,1 час полёта в аэротрубе,on_air,AT60,40000.0,50000.0
90,Багги,20 минутный заезд на багги по трассе,on_air,BG,5000.0,6000.0
91,Багги,Часовой заезд на багги по трассе,on_air,BGH,9000.0,11000.0
92,Багги,20 минутный заезд на багги по трассе для детей,on_air,BGK,2400.0,3000.0
93,Багги,Часовой заезд на багги для детей,on_air,BGKH,3500.0,4500.0
94,Вейк-парк крытый,Start Up для одного,on_air,GR1,3200.0,3800.0
95,Вейк-парк крытый,Start Up для двоих,on_air,GR2,6500.0,7600.0
96,Дайвинг ,Курс Open Water Diver в группе,on_air,OWG,18400.0,23000.0
97,Дайвинг ,Курс Open Water Diver индивидуальный,on_air,OWI,26400.0,33000.0
98,Дайвинг ,Курс Open Water Diver для двоих,on_air,OW2,44800.0,56000.0
99,Искусственная волна,1 час серфинга на искусственной волне в группе для одного,on_air,CW1,3600.0,4500.0
100,Искусственная волна,1 час серфинга на искусственной волне в группе для двоих,on_air,CW2,7200.0,9000.0
101,Искусственная волна,Аренда искусственной волны на 1 час,on_air,CWH,26400.0,
102,Искусственная волна,1 час серфинга на искусственной волне в группе для одного с тренером,on_air,CW1T,5100.0,6500.0
103,Искусственная волна,1 час серфинга на искусственной волне в группе для двоих с тренером,on_air,CW2T,10000.0,12500.0
104,Картинг ,20 минут картинга,on_air,KA2,2200.0,3000.0
105,Картинг ,40 минут картинга,on_air,KA4,4400.0,5500.0
106,Картинг ,60 минут картинга,on_air,KA6,6600.0,8000.0
107,Картинг ,Разовое занятие в группе,on_air,KAT,5000.0,6000.0
108,Картинг ,Разовое занятие в группе для детей,on_air,KAT2,5000.0,6000.0
109,Картинг ,Картинг 4 занятия в школе для детей,on_air,KAT4,16000.0,16000.0
110,Катер без капитана,Аренда катера без капитана на один час,on_air,LL1H,4000.0,5500.0
111,Катер без капитана,Романтическое свидание на катере без капитана на один час,on_air,LL1HP,4000.0,5500.0
112,Катер без капитана,Аренда катера без капитана на два часа,on_air,LL2H,7200.0,10000.0
113,Катер без капитана,Романтическое свидание на катере без капитана на два часа,on_air,LL2HP,7200.0,10000.0
114,Катер без капитана,Аренда катера без капитана на три часа,on_air,LL3H,10400.0,15000.0
115,Каякинг,Двухчасовой зимний тур на каяке по Истре для одного,on_air,KW,4000.0,5000.0
116,Каякинг,Двухчасовой зимний тур на каяке по Истре для двоих,on_air,KW2,8000.0,10000.0
117,Каякинг,Летний 5 часовой сплав на каяке для одного (маршрут на выбор),on_air,KS,4800.0,6000.0
118,Каякинг,Летний 5 часовой сплав на каяке для одного (маршрут на выбор),on_air,KS2,9600.0,12000.0
119,Каякинг,Летний 2 часовой сплав для одного ,on_air,KYT,2400.0,3000.0
120,Каякинг,Летний 2 часовой сплав для двоих ,on_air,KYT2,4800.0,6000.0
