,id,amo_id,series,number,prefix,code,card_type,design_type,status,stock_status,sale_price,sale_date,expiry_date,card_used_date,created_at,updated_at,deleted_at,activity_value_id
0,,23580385,,213421,KA4,KA4_213421,paper,design1,,,5200.0,2023-05-02 21:14:00,,,,,,105
1,,23598009,,213697,KA4,KA4_213697,paper,design1,,,5200.0,2023-02-02 14:54:00,,,,,,105
2,,23987233,,278259,KA4,KA4_278259,paper,design1,,,5200.0,2023-01-04 17:40:00,,,,,,105
3,,24694159,,264053,KA4,KA4_264053,paper,design1,,,5500.0,2023-04-07 16:06:00,,,,,,105
4,,23713593,,278530,KA4,KA4_278530,paper,design1,sold_used,,5200.0,2023-02-22 14:15:00,,2023-09-09,,,,105
5,,23716727,,145840,KA4,KA4_145840,paper,design1,,,10400.0,2023-02-21 17:54:00,,,,,,105
6,,23716823,,141308,KA4,KA4_141308,paper,design1,,,5500.0,2023-02-21 17:56:00,,,,,,105
7,,23716881,,167925,KA4,KA4_167925,paper,design1,,,5500.0,2023-02-21 17:56:00,,,,,,105
8,,23716895,,133695,KA4,KA4_133695,paper,design1,,,5500.0,2023-02-21 18:05:00,,,,,,105
9,,23724689,,148845,KA4,KA4_148845,paper,design1,sold_used,,5200.0,2023-07-15 23:24:00,,2023-09-07,,,,105
10,,23736397,,193723,KA4,KA4_193723,paper,design1,,,5200.0,2023-02-25 00:42:00,,,,,,105
11,,23725647,,262615,KA4,KA4_262615,paper,design1,sold_used,,5200.0,2023-02-27 10:30:00,,2023-07-25,,,,105
12,,23760001,,271913,KA4,KA4_271913,paper,design1,,,10400.0,2023-12-03 02:24:00,,,,,,105
13,,24210153,,222232,KA4,KA4_222232,paper,design1,,,5200.0,2023-07-05 16:05:00,,,,,,105
14,,24985729,,291779,KA4,KA4_291779,paper,design1,sold_used,,5500.0,2023-09-08 10:29:00,,2023-08-13,,,,105
15,,24742271,,262471,KA4,KA4_262471,paper,design1,sold_used,,5200.0,2023-06-07 19:39:00,,2023-06-07,,,,105
16,,24149475,,181121,KA4,KA4_181121,paper,design1,sold_used,,5200.0,2023-04-27 14:47:00,,2023-03-06,,,,105
17,,25239005,,64931,KA4,KA4_64931,paper,design1,sold_used,,5500.0,2023-06-09 11:17:00,,2023-09-23,,,,105
18,,23627503,,213526,KA4,KA4_213526,paper,design1,sold_used,,5200.0,2023-06-02 18:44:00,,2023-03-07,,,,105
19,,24740391,,234689,KA4,KA4_234689,paper,design1,,,5500.0,2023-08-07 14:46:00,,,,,,105
20,,25553747,,54536,KA4,KA4_54536,paper,design1,,,5500.0,2023-09-10 09:44:00,,,,,,105
21,,24646105,,228465,KA4,KA4_228465,paper,design1,,,11000.0,2023-06-27 00:42:00,,,,,,105
22,,24646167,,263075,KA4,KA4_263075,paper,design1,,,5500.0,2023-06-27 00:43:00,,,,,,105
23,,24665911,,265470,KA4,KA4_265470,paper,design1,,,5500.0,2023-06-29 09:13:00,,,,,,105
24,,24677925,,225444,KA4,KA4_225444,paper,design1,,,5500.0,2023-06-29 15:48:00,,,,,,105
25,,24917577,,264322,KA4,KA4_264322,paper,design1,,,5500.0,2023-07-27 17:37:00,,,,,,105
26,,25078309,,52380,KA4,KA4_52380,paper,design1,,,5500.0,2023-08-20 02:55:00,,,,,,105
27,,25080999,,32047,KA4,KA4_32047,paper,design1,,,5500.0,2023-08-16 08:30:00,,,,,,105
28,,25142063,,290061,KA4,KA4_290061,paper,design1,sold_used,,5500.0,2023-08-23 08:39:00,,2023-08-24,,,,105
29,,25131341,,24365,KA4,KA4_24365,paper,design1,,,5500.0,2023-08-23 12:25:00,,,,,,105
30,,25196309,,85751,KA4,KA4_85751,paper,design1,,,5500.0,2023-01-09 12:54:00,,,,,,105
31,,24775309,,231682,KA4,KA4_231682,paper,design1,sold_used,,5500.0,2023-11-07 12:38:00,,2023-04-09,,,,105
32,,25267977,,59947,KA4,KA4_59947,paper,design1,,,5500.0,2023-12-09 14:16:00,,,,,,105
33,,25269385,,270131,KA4,KA4_270131,paper,design1,,,12500.0,2023-12-09 14:16:00,,,,,,105
34,,25302285,,4154430,KA4,KA4_4154430,paper,design1,,,5500.0,2023-09-13 19:24:00,,,,,,105
