,amo_id,этап_сделки,бюджет,дата_создания_сделки,sale_date,delivery_price,стоимость_доставки,products,price,subtotal,выручка_от_клиента,направление_(вид_сертификата),code,корневая_сделка,номер_2-го_сертификата,номер_3-го_сертификата,номер_4-го_сертификата,номер_5-го_сертификата,сертификат_на_тренера,статус_погашения,card_used_date,стоимость_закупки,id,prefix,number,prefix_V,card_type,design_type,status,sale_price,expiry_date,created_at,updated_at,deleted_at,supplier_payment_date
2,929417,Успешно_реализовано,3040.0,2020-03-04 12:51:10,2020-07-10 18:34:00,,,,,,,,GR89289,,,,,,,,,,,,,,,,,,,,,,
6,1058967,Успешно_реализовано,2750.0,2020-03-05 10:42:16,2020-03-08 05:05:00,,,Подарочный_сертификат_в_крытый_Вейк-парк_(Выберите_тип:_1_сеанс_тренировки_на_одного_2750_р._)_-_1x2750_=_2750,2750.0,2750.0,,,GRT65059,,,,,,,,,,,,,,,,,,,,,,
11,2043499,Успешно_реализовано,3600.0,2020-03-12 16:42:41,2020-03-12 16:46:00,,,,,,3600.0,Вейксёрф_и_вейк_за_катером,WS353644,,,,,,,,,,,,,,,,,,,,,,
20,2043469,Успешно_реализовано,12745.0,2020-03-12 16:42:41,2020-07-10 18:33:00,,400,,,,,Универсальный_Мосвейк_12345,W&67420,,,,,,,Погашен,2023-04-08,,,,,,,,,,,,,,
22,2043483,Успешно_реализовано,12695.0,2020-03-12 16:42:41,2020-03-12 16:45:00,,,,,,12695.0,Универсальный_Мосвейк_12345,W&63479,,,,,,,,,,,,,,,,,,,,,,
24,2109245,Успешно_реализовано,7150.0,2020-03-13 12:22:59,2020-07-10 18:33:00,,,,,,7150.0,Вейксёрф_и_вейк_за_катером,WS473505,,,,,,,,,,,,,,,,,,,,,,
25,2143151,Успешно_реализовано,4800.0,2020-03-13 16:26:38,2020-07-10 18:33:00,,,,,,4800.0,Вейксёрф_и_вейк_за_катером,WS457088,,,,,,,,,,,,,,,,,,,,,,
26,2480285,Успешно_реализовано,9290.0,2020-03-17 00:30:38,2020-07-10 18:33:00,,,Подарочный_сертификатна_Искусственную_Волну_(Выберите_тип:_1_час_катания_в_группе_для_двоих_-_9000_р._)_-_1x9000_=_9000,9290.0,9000.0,9290.0,Искусственная_волна,CW055275,,,,,,,Погашен,,,,,,,,,,,,,,,
27,2966455,Успешно_реализовано,9350.0,2020-03-19 12:57:22,2020-07-10 18:33:00,,,,,,8500.0,Вейксёрф_и_вейк_за_катером,75246,,,,,,,,,,,,,,,,,,,,,,
28,2967883,Успешно_реализовано,12345.0,2020-03-19 13:15:48,2020-07-10 18:33:00,,,,,,12345.0,Универсальный_Мосвейк_12345,W&74161,,,,,,,,,,,,,,,,,,,,,,
29,3214105,Успешно_реализовано,5000.0,2020-03-21 13:23:20,2020-07-10 18:33:00,,,,,,5000.0,Вейк-парк,V2WP276139,,,,,,,,,,,,,,,,,,,,,,
31,3448575,Успешно_реализовано,7200.0,2020-03-23 17:42:26,2020-07-10 18:31:00,,,,,,7200.0,Вейксёрф_и_вейк_за_катером,WS616352,,,,,,,,,,,,,,,,,,,,,,
43,3905499,Успешно_реализовано,5000.0,2020-03-26 18:23:18,2020-07-10 18:31:00,,,,,,5000.0,Вейк-парк,2WP83877,,,,,,,,,,,,,,,,,,,,,,
44,4036001,Успешно_реализовано,4850.0,2020-03-27 12:13:24,2020-07-10 18:26:00,,390,Подарочный_сертификатна_Искусственную_Волну_(Выберите_тип:_1_час_катания_в_группе_для_одного_-_4500_р._)_-_1x4500_=_4500,4850.0,4500.0,4850.0,Искусственная_волна,95095,,,,,,,,,,,,,,,,,,,,,,
48,4964131,Успешно_реализовано,6600.0,2020-04-06 15:13:19,2020-07-10 18:30:00,,429,,,,6600.0,Вейксёрф_и_вейк_за_катером,W318360,,MF20_542,,,,,,,,,,,,,,,,,,,,
51,4964137,Успешно_реализовано,3890.0,2020-04-06 15:13:19,2020-07-10 18:30:00,,868,,,,3890.0,Вейксёрф_и_вейк_за_катером,W354190,,,,,,,Погашен,2020-12-07,,,,,,,,,,,,,,
56,4964409,Успешно_реализовано,5150.0,2020-04-06 15:18:17,2020-07-10 18:29:00,,350,,,,5150.0,Вейксёрф_и_вейк_за_катером,WS437564,,,,,,,,,,,,,,,,,,,,,,
57,4964411,Успешно_реализовано,3950.0,2020-04-06 15:18:17,2020-07-10 18:28:00,,592,,,,3950.0,Вейксёрф_и_вейк_за_катером,WS379344,,,,,,,,,,,,,,,,,,,,,,
58,4964405,Успешно_реализовано,7200.0,2020-04-06 15:18:17,2020-07-10 18:30:00,,,,,,7200.0,Вейксёрф_и_вейк_за_катером,WS699765,,,,,,,Погашен,,,,,,,,,,,,,,,
61,6024579,Успешно_реализовано,12345.0,2020-04-27 10:47:32,2020-07-10 18:24:00,,,,,,12345.0,,W&89870,,,,,,,Погашен,,,,,,,,,,,,,,,
63,6324951,Успешно_реализовано,7600.0,2020-05-05 10:20:31,2020-07-10 18:22:00,,446,,,,7600.0,Вейксёрф_и_вейк_за_катером,WS650975,,,,,,,,,,,,,,,,,,,,,,
68,6686761,Успешно_реализовано,3950.0,2020-05-12 18:22:13,2020-07-10 18:20:00,,500,Подарочный_сертификатна_Вейкборд_за_катером_(Выберите_тип:_30_минут_)_-_1x3600_=_3600,3950.0,3600.0,3950.0,Вейксёрф_и_вейк_за_катером,W317014,,,,,,,Погашен,,,,,,,,,,,,,,,
70,7243017,Успешно_реализовано,7550.0,2020-05-22 13:03:38,2020-07-10 18:19:00,,,,,,8200.0,Вейк-парк,WP653899,,,,,,TR1K_032086,,,,,,,,,,,,,,,,
73,7429379,Успешно_реализовано,4350.0,2020-05-27 12:53:35,2020-07-10 18:17:00,,,,,,4350.0,Флайборд_/_Ховерборд_/_Ранец,FJ49246,,,,,,,Погашен,2020-05-09,,,,,,,,,,,,,,
76,7698589,Успешно_реализовано,3850.0,2020-05-31 13:22:45,2020-07-10 18:11:00,,,,,,3850.0,Вейк-парк,WP698928,,,,,,,Погашен,2020-11-08,,,,,,,,,,,,,,
78,7721733,Успешно_реализовано,7550.0,2020-06-01 10:45:48,2020-07-10 18:16:00,,615,,,,7550.0,Вейксёрф_и_вейк_за_катером,WS659482,,,,,,,Погашен,2020-12-07,,,,,,,,,,,,,,
82,7851981,Успешно_реализовано,3600.0,2020-06-04 10:49:52,2020-07-10 18:15:00,,,,,,3600,Вейксёрф_и_вейк_за_катером,WS346379,,,,,,,,,,,,,,,,,,,,,,
83,7860307,Успешно_реализовано,7550.0,2020-06-04 12:27:08,2020-07-10 18:14:00,,,,,,7550,Вейксёрф_и_вейк_за_катером,WS684894,,,,,,,,,,,,,,,,,,,,,,
87,7972907,Успешно_реализовано,5350.0,2020-06-07 19:33:01,2020-07-10 18:06:00,,,Подарочный_сертификатв_Вейк-парк_(Выберите_тип:_Целый_день_на_двоих_)_-_1x5000_=_5000,5350.0,5000.0,5350,Вейк-парк,2WP82533,,,,,,,,,,,,,,,,,,,,,,
90,8055923,Успешно_реализовано,3850.0,2020-06-09 11:01:03,2020-07-10 18:05:00,,,,,,3850,Вейк-парк,WP627002,,,,,,,Погашен,,,,,,,,,,,,,,,
93,8122189,Успешно_реализовано,4350.0,2020-06-10 20:27:13,2020-06-15 11:14:00,,,,,,4350,САП-сёрф,75755,,,,,,,,,,,,,,,,,,,,,,
