,id,amo_id,amo_lead_id,prefix,code,card_type,design_type,status,supplier_payment_date,sale_price,sale_date,expiry_date,card_used_date,created_at,updated_at,deleted_at,number
5,,,948101,S,S_U226298,paper,design1,sold_used,2020-09-08,5000.0,2020-07-10 18:34:00,,2020-09-08,,,,U226298
19,,,2043467,GR1X1,GR1X1_035393,paper,design1,sold_used,,2750.0,2020-07-10 18:34:00,,,,,,035393
45,,,4332787,VGR1X1,VGR1X1_098727,electronic,design1,,,,2020-07-10 18:31:00,,,,,,098727
69,,,7222395,VS,VS_U3H032688,electronic,design1,sold_used,,,2020-07-10 18:19:00,,,,,,U3H032688
71,,,7282273,S,S_U50994,paper,design1,,,5000.0,2020-07-10 18:18:00,,,,,,U50994
77,,,7702747,VS,VS_U3H057588,electronic,design1,,,,2020-07-10 18:16:00,,,,,,U3H057588
101,,,8248933,VFJ30,VFJ30_052108,electronic,design1,sold_used,2020-12-07,,2020-07-10 18:05:00,,2020-12-07,,,,052108
102,,,8263303,VWS20,VWS20_011584,electronic,design1,,,,2020-07-10 18:05:00,,,,,,011584
103,,,8338465,V2SU24,V2SU24_088058,electronic,design1,sold_used,,,2020-06-18 15:53:00,,,,,,088058
112,,,8466069,2SU60,2SU60_094982,paper,design1,,,,2020-06-19 17:38:00,,,,,,094982
117,,,8515019,VFJ30,VFJ30_091292,electronic,design1,,,4350.0,2020-07-10 18:04:00,,,,,,091292
130,,,8601547,S,S_U72766,paper,design1,,,,2020-07-10 18:04:00,,,,,,U72766
148,,,8748987,VWS20,VWS20_023842,electronic,design1,,,2600.0,2020-07-10 18:03:00,,,,,,023842
159,,,8778573,VHB20,VHB20_99505,electronic,design1,,,,2020-06-28 11:02:00,,,,,,99505
175,,,8856331,WS20,WS20_011612,paper,design1,sold_used,2020-12-09,2600.0,2020-07-10 18:01:00,,2020-12-09,,,,011612
185,,,8924333,VWS20,VWS20_059026,electronic,design1,,,2600.0,2020-07-02 11:15:00,,,,,,059026
189,,,8931369,S,S_U238685,paper,design1,sold_used,2020-08-08,5000.0,2020-07-05 17:17:00,,2020-08-08,,,,U238685
192,,,8959005,V2SU60,V2SU60_031128,electronic,design1,,,1600.0,2020-07-02 22:14:00,,,,,,031128
205,,,9019375,S,S_U277825,paper,design1,sold_used,,,2020-07-10 18:01:00,,,,,,U277825
209,,,9028737,V2SU24,V2SU24_071675,electronic,design1,sold_used,2020-11-07,4000.0,2020-07-10 18:00:00,,2020-11-07,,,,071675
210,,,9037191,S,S_U268153,paper,design1,,,4000.0,2020-07-10 11:41:00,,,,,,U268153
217,,,9063529,S,S_U262556,paper,design1,sold_used,2020-05-08,4000.0,2020-07-10 11:33:00,,2020-05-08,,,,U262556
