"Клиент ООО Мосвейк (mosfly-gift), период 01.01.2024 - 10.03.2024"
"Всего";;"Ср.расход за день (руб.)";"Показы";"Клики";"CTR (%)";"Расход (руб.)";"Ср. цена клика (руб.)";"Ср. цена тыс. показов (руб.)";"Глубина (стр.)";"Конверсия (%)";"Цена цели (руб.)";"Конверсии"
"с 01.01.2024 по 10.03.2024";;6014,34;167158;11161;6,68;421003,85;37,72;2518,60;2,10;62,03;60,81;6923

"Дата";"Показы";"Клики";"CTR (%)";"Расход (руб.)";"Ср. цена клика (руб.)";"Ср. цена тыс. показов (руб.)";"Глубина (стр.)";"Конверсия (%)";"Цена цели (руб.)";"Конверсии"
01.01.2024;3849;380;9,87;17388,35;45,76;4517,63;2,03;61,05;74,95;232
02.01.2024;993;118;11,88;4555,71;38,61;4587,82;1,83;51,69;74,68;61
03.01.2024;2933;268;9,14;8999,97;33,58;3068,52;2,43;71,27;47,12;191
04.01.2024;2672;263;9,84;8999,97;34,22;3368,25;1,93;60,08;56,96;158
05.01.2024;1954;232;11,87;8999,97;38,79;4605,92;2,17;55,17;70,31;128
06.01.2024;2790;276;9,89;8910,70;32,29;3193,80;1,99;59,42;54,33;164
07.01.2024;1446;134;9,27;3836,16;28,63;2652,95;1,83;60,45;47,36;81
08.01.2024;2577;262;10,17;8112,66;30,96;3148,10;2,32;67,18;46,09;176
09.01.2024;2592;276;10,65;8696,62;31,51;3355,18;2,20;66,67;47,26;184
10.01.2024;2411;230;9,54;8999,97;39,13;3732,88;2,10;63,91;61,22;147
11.01.2024;799;65;8,14;1454,63;22,38;1820,57;2,30;70,77;31,62;46
12.01.2024;335;10;2,99;0,00;0,00;0,00;1,25;50,00;0,00;5
13.01.2024;571;19;3,33;18630,00;980,53;32626,97;1,90;78,95;1242,00;15
14.01.2024;727;29;3,99;0,00;0,00;0,00;1,82;62,07;0,00;18
15.01.2024;551;20;3,63;230,00;11,50;417,42;2,26;65,00;17,69;13
16.01.2024;508;19;3,74;0,00;0,00;0,00;2,00;47,37;0,00;9
17.01.2024;601;27;4,49;0,00;0,00;0,00;2,11;55,56;0,00;15
18.01.2024;576;58;10,07;230,00;3,97;399,31;2,52;81,03;4,89;47
19.01.2024;517;48;9,28;0,00;0,00;0,00;2,08;68,75;0,00;33
20.01.2024;564;55;9,75;0,00;0,00;0,00;1,55;58,18;0,00;32
21.01.2024;379;35;9,23;0,00;0,00;0,00;2,42;62,86;0,00;22
22.01.2024;365;32;8,77;3255,00;101,72;8917,81;1,65;87,50;116,25;28
23.01.2024;367;34;9,26;0,00;0,00;0,00;1,91;73,53;0,00;25
24.01.2024;427;35;8,20;0,00;0,00;0,00;2,03;54,29;0,00;19
25.01.2024;502;40;7,97;4485,00;112,12;8934,26;2,16;60,00;186,88;24
26.01.2024;492;27;5,49;724,50;26,83;1472,56;1,93;81,48;32,93;22
27.01.2024;682;41;6,01;1417,50;34,57;2078,45;1,90;46,34;74,61;19
28.01.2024;791;69;8,72;1417,50;20,54;1792,04;2,18;59,42;34,57;41
29.01.2024;619;53;8,56;787,50;14,86;1272,21;1,91;50,94;29,17;27
30.01.2024;596;52;8,72;210,00;4,04;352,35;2,13;48,08;8,40;25
31.01.2024;591;52;8,80;210,00;4,04;355,33;2,30;65,38;6,18;34
01.02.2024;753;55;7,30;105,00;1,91;139,44;1,43;56,36;3,39;31
02.02.2024;534;29;5,43;0,00;0,00;0,00;1,58;51,72;0,00;15
03.02.2024;418;28;6,70;105,00;3,75;251,20;2,67;71,43;5,25;20
04.02.2024;476;30;6,30;52,50;1,75;110,29;1,97;43,33;4,04;13
05.02.2024;699;46;6,58;499,07;10,85;713,97;1,81;56,52;19,19;26
06.02.2024;647;52;8,04;1756,84;33,79;2715,36;2,72;65,38;51,67;34
07.02.2024;1498;190;12,68;6077,08;31,98;4056,80;1,76;42,63;75,03;81
08.02.2024;2101;262;12,47;12030,95;45,92;5726,30;1,98;50,00;91,84;131
