"Источник трафика","Источник трафика (детально)","Тип площадки","Конверсия (CRM: Заказ оплачен)","Достижения цели (CRM: Заказ оплачен)","Целевые визиты (CRM: Заказ оплачен)","Доход по цели (CRM: Заказ оплачен), RUB","Целевые посетители (CRM: Заказ оплачен)","Отказы (CRM: Заказ оплачен)","Глубина просмотра (CRM: Заказ оплачен)","Время на сайте (CRM: Заказ оплачен)","Количество покупок (CRM: Заказ оплачен)","Доход (CRM: Заказ оплачен), RUB"
"Итого и средние","","","0.0117453454228647","456","364","3485842.0","353","0.005494505494505495","7.096153846153846","00:14:47","361","2860978.0"
"Переходы из поисковых систем","Google","Не определено","0.021767522855899","193","150","1356112.0","146","0.006666666666666667","6.693333333333333","00:14:45","154","1121062.0"
"Переходы по рекламе","Яндекс: Директ","Поиск","0.006559702154064356","82","74","703608.0","72","0.0","7.986486486486487","00:16:25","67","620748.0"
"Прямые заходы","Не определено","Не определено","0.012092174309833448","65","53","603806.0","52","0.018867924528301886","5.943396226415095","00:11:50","53","497779.0"
"Переходы из поисковых систем","Яндекс","Не определено","0.008991008991008992","60","45","405200.0","44","0.0","7.2444444444444445","00:15:42","44","274700.0"
"Внутренние переходы","Не определено","Не определено","0.013232514177693762","17","14","157900.0","14","0.0","5.357142857142857","00:10:32","13","118400.0"
"Переходы по рекламе","Яндекс.Директ: Не определено","Не определено","0.01507537688442211","6","6","65600.0","6","0.0","13.166666666666666","00:14:17","7","86100.0"
"Переходы из социальных сетей","ВКонтакте","Не определено","0.056179775280898875","7","5","38340.0","5","0.0","7.4","00:12:58","3","14390.0"
"Переходы по ссылкам на сайтах","trikeland.ru","Не определено","0.06060606060606061","6","4","40500.0","4","0.0","6.25","00:30:13","5","32500.0"
"Переходы из мессенджеров","Telegram","Не определено","0.06349206349206349","9","4","9020.0","2","0.0","14.5","00:35:14","10","53999.0"
"Переходы по ссылкам на сайтах","followish.io","Не определено","0.33333333333333326","4","3","17000.0","3","0.0","1.3333333333333333","00:01:24","1","4000.0"
"Переходы по рекламе","Другая реклама: определено по меткам","Не определено","0.0029239766081871343","3","3","35456.0","2","0.0","3.3333333333333335","00:03:17","2","12000.0"
"Переходы по рекламе","Яндекс: Директ","Не определено","0.002789400278940028","3","2","48000.0","2","0.0","28.5","00:24:18","1","20000.0"
"Переходы из поисковых систем","Yahoo!","Не определено","0.2","1","1","5300.0","1","0.0","2.0","00:01:24","1","5300.0"
